127	4878	ᑕᒪᑐᒧᖓ
128	4816	ᑐᓵᔨᑎᒎᕈᓐᓃᖅᑐᖅ
129	4762	ᑖᒻᓴᓐ
130	4752	ᒥᑭᓐᖑᐊᖅ
131	4721	ᐊᐱᖅᑯᑎᑦ
132	4521	ᓯᒪᐃᓚᒃ
133	4509	ᓇᒻᒥᓂᖅ
134	4485	ᒪᓕᒐᒃᓴᓂᑦ
135	4469	ᔪᐊᓇᓯ
136	4464	ᒪᓕᒐᒃᓴᐃᑦ
137	4433	ᒪᓕᒐᓕᐅᕐᕕᒻᒧᑦ
138	4408	ᐃᐊᑦ
139	4386	ᓄᓇᓕᓐᓄᑦ
140	4369	ᓴᕕᑲᑖᖅ
141	4343	ᐃᓕᓐᓂᐊᖅᑐᓕᕆᔨᒃᑯᑦ
142	4311	ᓯᐅᑦᓴᒃ
143	4305	ᒪᐃᒃ
144	4280	ᐃᖃᓗᓐᓂ
145	4108	ᑕᐹᕐᔪᒃ
146	4101	ᐊᒻᒪᑦᑕᐅᖅ
147	4087	ᐊᖏᖅᐱᓯᐅᒃ
148	4067	ᓴᒻᒧᖅᑐᖅ
149	4047	ᐅᒡᔪᒃ
150	4034	ᑮᓇᐅᔭᓂᑦ
151	4014	ᓄᓇᓕᓐᓂᑦ
152	4004	ᔪᐊᔾ
153	3995	ᐅᓂᒃᑳᖏᑦ
154	3987	ᐃᓚᖓ
155	3971	ᑖᔅᓱᒥᖓ
156	3965	ᐃᒫᒃ
157	3959	ᑕᐹᖅᔪᒃ
158	3939	ᖁᒃᓱᒃ
159	3935	ᐃᒃᔅ
160	3931	ᓂᓐᖓᖅ
161	3901	ᑲᑎᒪᔨᖏᓐᓄᑦ
162	3890	ᐱᔾᔪᑎᒋᓪᓗᒋᑦ
163	3888	ᒪᓕᒐᓕᐅᕐᕕᒻᒥ
164	3853	ᐊᓇᕈᐊᖅ
165	3850	ᐸᕋᐅᓐ
166	3847	ᖑᑎᓪᓗᒍ
167	3829	ᐃᖅᑲᓇᐃᔭᖅᑏᑦ
168	3791	ᓇᑦᑎᖅ
169	3783	ᐊᖏᖅᑐᑦ
170	3740	ᓯᕗᓪᓕᖅᐹᒥ
171	3713	ᖁᐊᓴ
172	3701	ᐅᑯᐊ
173	3684	ᐅᑭᐅᖅᑕᖅᑐᒥ
174	3661	ᒥᒃ
175	3621	ᐊᓯᖏᑦ
